nro,nombres,primerApellido,segundoApellido,fechaNacimiento,documento,tipoDocumento,correo,telefono,contrasena
1,DARINA,BOA,RIGAU,1961-06-12,5716890281,CI,correo-5716890281@mailinator.com,7143657338,)u$7}}M%x+2GAK53
2,ROSA MAR,HUBER,GARCIA NAVAS,1961-04-16,2264960924-5I,CI,correo-2264960924-5I@mailinator.com,7425770739,mi_Gz2.2VA+XADJ*
3,CHIRSTIAN,DELIU,,1995-12-02,3452049155-3S,CI,correo-3452049155-3S@mailinator.com,7127124048,HcG)qS1Pwy2H!I)z
4,MIREN BAKARNE,,FADEL,1960-01-21,1421276589,CI,correo-1421276589@mailinator.com,7845724505,VCD5$Zd1^Ofs3s5o
5,MITA,EMALDI,,1982-11-19,6348387655-8O,CI,correo-6348387655-8O@mailinator.com,7534146121,AWsV82X.oPe)eh*Y
6,MARIA ESTEBAN,,EL AHMADI,1995-10-20,9164117357-6F,CI,correo-9164117357-6F@mailinator.com,6676613010,9XsFQQ8hIy@epzB]
7,DAWIT,EL ALAMI,TOUS,1968-11-28,3903807942,CIE,correo-3903807942@mailinator.com,6988705161,]1fueW82QTX{5$we
8,NANDO,MIELES,STOCK,1984-06-07,4964615510,CIE,correo-4964615510@mailinator.com,6887415624,yXFlDk|zA2qT5y<f
9,NESRIN,,ATORRASAGASTI,1972-02-14,9613591159-2V,CIE,correo-9613591159-2V@mailinator.com,7841767503,h@hBEF_EN74p0ujf
10,ALVARO ALEJANDRO,SIMION,,1970-03-08,4185565922-7K,CI,correo-4185565922-7K@mailinator.com,6474275212,]@o!7>8h7vyD%zZN
